Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761783690,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761783691,2,,Aggregated,0.000000,0.000000,46,46,48,48,48,48,48,48,48,48,48,4,0,30,35.97435000119731,19.675999996252358,47.62329999357462,7966.5
1761783692,4,,Aggregated,0.000000,0.000000,20,30,46,46,48,48,48,48,48,48,48,8,0,19,26.158099994063377,13.948399981018156,47.62329999357462,7966.5
1761783693,6,,Aggregated,0.000000,0.000000,18,19,30,30,46,48,48,48,48,48,48,12,0,15,21.816149994265288,12.622200010810047,47.62329999357462,7966.5
1761783694,10,,Aggregated,4.000000,0.000000,15,19,30,46,3400,3500,3500,3500,3500,3500,3500,18,0,14,399.63131666364563,10.494899994228035,3514.242400007788,7081.555555555556
1761783695,10,,Aggregated,4.000000,0.000000,16,20,30,46,1200,3400,3500,3500,3500,3500,3500,26,0,15,360.1038230744262,10.494899994228035,3514.242400007788,7040.692307692308
1761783696,10,,Aggregated,4.000000,0.000000,19,30,810,920,1200,3400,3500,3500,3500,3500,3500,30,0,18,439.1054366657045,10.494899994228035,3514.242400007788,6910.0
1761783697,10,,Aggregated,4.800000,0.000000,20,810,910,980,1200,3500,5000,5000,5000,5000,5000,38,0,20,598.5880894739622,10.494899994228035,5017.697900009807,6972.421052631579
1761783698,10,,Aggregated,4.666667,0.000000,19,750,910,980,3400,4300,5000,5000,5000,5000,5000,46,0,19,685.1364195653056,10.494899994228035,5017.697900009807,6778.95652173913
1761783699,10,,Aggregated,4.857143,0.000000,19,750,910,1000,3500,4300,7400,7400,7400,7400,7400,50,0,18,778.3706340007484,10.494899994228035,7354.338200006168,6705.44
1761783700,10,,Aggregated,4.750000,0.000000,22,810,1100,2900,4300,5000,7100,7400,7400,7400,7400,64,0,20,1094.122175000848,10.494899994228035,7354.338200006168,7072.53125
1761783701,10,,Aggregated,4.750000,0.000000,22,810,1100,2900,4300,5000,7100,7400,7400,7400,7400,64,0,20,1094.122175000848,10.494899994228035,7354.338200006168,7072.53125
1761783702,10,,Aggregated,6.000000,0.000000,22,860,1100,3000,4300,5000,7100,7400,7400,7400,7400,66,0,22,1187.14718484923,10.494899994228035,7354.338200006168,7304.515151515152
1761783703,10,,Aggregated,6.000000,0.000000,26,980,3000,3200,4300,5000,7100,7400,7400,7400,7400,70,0,25,1316.3177485719123,10.494899994228035,7354.338200006168,7728.714285714285
1761783704,10,,Aggregated,5.600000,0.000000,30,1100,3200,3300,4200,5000,7100,7400,7400,7400,7400,74,0,28,1432.7326148647714,10.494899994228035,7354.338200006168,8376.081081081082
1761783705,10,,Aggregated,5.600000,0.000000,30,1100,3200,3300,4200,5000,7100,7400,7400,7400,7400,74,0,28,1432.7326148647714,10.494899994228035,7354.338200006168,8376.081081081082
1761783706,10,,Aggregated,5.600000,0.000000,750,3000,3200,3400,4200,4800,7100,7400,7400,7400,7400,81,0,750.0,1606.1887679015067,10.494899994228035,7354.338200006168,9112.851851851852
1761783707,10,,Aggregated,5.000000,0.000000,810,3000,3300,3400,4200,4800,7100,7400,7400,7400,7400,84,0,810.0,1662.4573714285534,10.494899994228035,7354.338200006168,8790.285714285714
1761783708,10,,Aggregated,5.000000,0.000000,810,3000,3300,3400,4200,4800,7100,7400,7400,7400,7400,84,0,810.0,1662.4573714285534,10.494899994228035,7354.338200006168,8790.285714285714
1761783709,10,,Aggregated,4.800000,0.000000,910,3000,3200,3300,4200,4800,7100,7400,7400,7400,7400,88,4,860.0,1681.7986954543317,10.494899994228035,7354.338200006168,8402.772727272728
1761783710,10,,Aggregated,4.600000,0.000000,31,2200,3200,3300,4000,4300,7100,7100,7400,7400,7400,113,4,31,1476.6683318586279,9.706900047603995,7354.338200006168,7995.371681415929
1761783711,10,,Aggregated,3.800000,0.000000,41,1100,3000,3200,3800,4300,7100,7100,7400,7400,7400,135,10,41,1280.6951303711955,9.706900047603995,7354.338200006168,7681.385185185185
1761783712,10,,Aggregated,2.800000,0.400000,23,73,1100,3000,3700,4200,6000,7100,7400,7400,7400,182,11,23,996.6253807690189,8.908600022550672,7354.338200006168,7729.494505494506
1761783713,10,,Aggregated,5.100000,0.400000,22,48,1100,2900,3700,4200,6000,7100,7400,7400,7400,191,11,22,950.3067460728454,8.908600022550672,7354.338200006168,7752.120418848168
1761783714,10,,Aggregated,7.100000,1.000000,22,42,1000,2200,3700,4200,6000,7100,7400,7400,7400,200,11,22,908.0354369996348,8.062300039455295,7354.338200006168,7772.71
1761783715,10,,Aggregated,11.600000,1.100000,22,54,1200,2900,3700,4100,5000,7100,7400,7400,7400,208,19,22,981.6914394233698,8.062300039455295,7354.338200006168,7483.951923076923
1761783716,10,,Aggregated,11.900000,1.100000,20,31,900,1700,3300,4100,4800,7100,7400,7400,7400,254,20,20,808.5576232291729,7.401100010611117,7354.338200006168,7591.043307086614
1761783717,10,,Aggregated,12.600000,1.100000,19,28,600,1100,3300,4100,4800,7100,7400,7400,7400,285,24,19,757.9478287734418,7.401100010611117,7354.338200006168,7540.642105263158
1761783718,10,,Aggregated,13.400000,1.900000,19,27,600,1100,3300,4000,4600,6000,7400,7400,7400,309,30,19,725.4390838202978,7.401100010611117,7354.338200006168,7438.339805825242
1761783719,10,,Aggregated,17.500000,2.000000,17,23,46,900,3200,3800,4600,6000,7400,7400,7400,348,32,17,649.0892902312362,7.401100010611117,7354.338200006168,7460.830459770115
1761783720,10,,Aggregated,20.100000,2.400000,16,22,35,590,3000,3700,4300,5000,7400,7400,7400,407,38,16,564.8838683058386,7.401100010611117,7354.338200006168,7467.904176904177
1761783721,10,,Aggregated,22.500000,3.000000,15,20,28,73,2700,3700,4300,5000,7400,7400,7400,466,43,15,501.5283414175686,7.401100010611117,7354.338200006168,7476.5751072961375
1761783722,10,,Aggregated,26.100000,2.800000,15,20,25,46,2000,3400,4200,4800,7400,7400,7400,506,47,15,467.99107925025857,7.401100010611117,7354.338200006168,7471.723320158103
1761783724,10,,Aggregated,29.200000,3.400000,16,22,28,46,1500,3300,4200,4800,7400,7400,7400,546,51,15,442.1969564113896,7.401100010611117,7354.338200006168,7467.582417582417
1761783725,10,,Aggregated,33.100000,3.300000,16,22,28,46,1400,3300,4200,4800,7400,7400,7400,578,56,16,424.4838396207531,7.058500021230429,7354.338200006168,7439.941176470588
1761783726,10,,Aggregated,35.500000,4.000000,16,21,27,40,1100,3300,4100,4600,7400,7400,7400,617,57,16,399.7813614274562,7.058500021230429,7354.338200006168,7474.930307941653
1761783727,10,,Aggregated,35.500000,4.000000,16,21,26,36,1000,3200,4100,4600,7400,7400,7400,657,63,16,380.84125449171125,7.058500021230429,7354.338200006168,7447.8493150684935
