Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761785449,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761785450,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761785451,10,,Aggregated,0.000000,0.000000,140,190,1300,1500,1600,1700,1700,1700,1700,1700,1700,20,5,37,438.1750850006938,10.085000016260892,1711.7196000181139,48273.0
1761785452,20,,Aggregated,0.000000,0.000000,120,190,1500,1600,1700,1800,2000,2000,2000,2000,2000,31,9,120.0,533.7136225838725,10.085000016260892,1976.1122000054456,52753.903225806454
1761785453,25,,Aggregated,5.500000,2.000000,120,200,470,1500,1700,1800,2000,2200,2200,2200,2200,80,19,110.0,479.36367125221295,10.085000016260892,2184.4565999927,45532.05
1761785454,30,,Aggregated,7.000000,2.000000,140,200,380,1400,1700,1800,2000,2200,2200,2200,2200,118,28,130.0,475.4906991546997,10.085000016260892,2217.423299967777,45108.28813559322
1761785455,35,,Aggregated,14.250000,4.500000,160,300,840,1500,1700,1800,2000,2200,2300,2300,2300,153,38,160.0,527.5472856219553,10.085000016260892,2321.615600027144,45922.1568627451
1761785456,40,,Aggregated,21.000000,5.200000,180,380,1100,1500,1700,1900,2200,2300,2800,2800,2800,185,47,180.0,573.1899216239391,10.085000016260892,2842.8179000038654,46569.11351351351
1761785457,45,,Aggregated,22.666667,5.833333,180,460,1100,1500,1800,2000,2300,2300,2800,2800,2800,220,55,180.0,596.8729745480232,10.085000016260892,2842.8179000038654,45864.72727272727
1761785458,50,,Aggregated,24.285714,5.714286,200,720,1300,1600,1900,2100,2300,2700,2800,2800,2800,258,67,200.0,667.0262131796222,10.085000016260892,2842.8179000038654,46889.77906976744
1761785459,50,,Aggregated,25.500000,6.250000,260,740,1300,1600,1900,2200,2400,2700,2800,2800,2800,323,76,260.0,676.2823377726542,9.364700003061444,2842.8179000038654,44104.91640866873
1761785460,50,,Aggregated,26.444444,6.666667,270,730,1200,1600,1900,2200,2400,2700,2800,2800,2800,343,77,270.0,678.895956561215,9.364700003061444,2842.8179000038654,42762.19241982507
1761785461,50,,Aggregated,29.000000,7.500000,300,770,1300,1600,2000,2300,2600,2700,3300,3300,3300,354,81,300.0,708.5497872895721,9.364700003061444,3250.372199981939,43341.10451977401
1761785462,50,,Aggregated,33.900000,7.700000,310,830,1500,1600,2100,2400,3300,3900,5100,5100,5100,372,91,300.0,787.8230768828578,9.364700003061444,5050.16780004371,45256.959677419356
1761785463,50,,Aggregated,33.500000,7.400000,330,970,1600,1800,2400,3400,4000,5100,6000,6000,6000,407,108,330.0,913.6630088461023,9.364700003061444,5964.053699979559,48048.32432432433
1761785464,50,,Aggregated,33.800000,7.800000,350,1100,1600,1900,2600,3400,4200,5200,7700,7700,7700,455,118,350.0,969.9619562644,9.364700003061444,7738.014300004579,47299.44835164835
1761785465,50,,Aggregated,33.500000,8.500000,420,1000,1600,1800,2400,3300,4200,5100,7700,7700,7700,525,124,420.0,932.6934367618967,9.364700003061444,7738.014300004579,44428.43047619048
1761785466,50,,Aggregated,31.400000,8.700000,470,1100,1600,1800,2600,3400,4500,5200,7700,7700,7700,574,135,460.0,960.2159069685139,9.364700003061444,7738.014300004579,44101.2212543554
1761785467,50,,Aggregated,35.300000,8.600000,380,970,1500,1700,2400,3300,4200,5100,7700,7700,7700,667,142,380.0,905.6868160416992,9.364700003061444,7738.014300004579,40820.785607196405
1761785468,50,,Aggregated,38.000000,8.900000,370,940,1400,1700,2400,3200,4000,5100,7700,7700,7700,719,152,370.0,884.9894777466562,9.364700003061444,7738.014300004579,40448.40055632823
1761785469,50,,Aggregated,43.300000,8.900000,370,890,1400,1700,2300,3200,4000,5100,7700,7700,7700,737,155,370.0,879.3312004067445,9.364700003061444,7738.014300004579,40291.6526458616
1761785470,50,,Aggregated,46.000000,8.500000,380,970,1400,1700,2300,3200,4000,5100,7700,7700,7700,761,163,380.0,888.4131373191569,9.364700003061444,7738.014300004579,40751.48620236531
1761785471,50,,Aggregated,43.800000,7.700000,380,970,1400,1700,2300,3200,4000,5100,7700,7700,7700,785,168,380.0,890.3459378346137,9.364700003061444,7738.014300004579,40828.615286624205
1761785472,50,,Aggregated,40.400000,8.100000,390,1000,1500,1800,2600,3400,4000,4800,7700,7700,7700,819,184,390.0,934.1973982910143,9.364700003061444,7738.014300004579,42125.84737484738
1761785473,50,,Aggregated,42.700000,8.900000,420,1000,1500,1800,2600,3400,3900,4800,7700,7700,7700,864,190,410.0,937.1300822920064,9.364700003061444,7738.014300004579,41591.65625
1761785474,50,,Aggregated,43.400000,8.800000,430,1100,1600,1800,2700,3400,4200,5000,7700,7700,7700,892,199,420.0,956.897349551794,9.364700003061444,7738.014300004579,42074.11883408072
1761785475,50,,Aggregated,45.500000,8.500000,420,1100,1600,1800,2700,3400,4200,5100,7700,7700,7700,968,210,420.0,970.4785314048828,9.364700003061444,7738.014300004579,41428.01859504132
1761785476,50,,Aggregated,45.500000,8.100000,440,1100,1600,1800,2700,3400,4200,5100,6300,7700,7700,1005,222,440.0,976.8654320399457,9.364700003061444,7738.014300004579,41926.94527363184
1761785477,50,,Aggregated,43.200000,8.500000,470,1100,1600,1800,2600,3400,4200,5100,6300,7700,7700,1079,234,470.0,964.7551725674753,9.364700003061444,7738.014300004579,41334.4235403151
1761785478,50,,Aggregated,43.300000,8.400000,410,1000,1500,1800,2600,3300,4100,5000,6300,7700,7700,1153,242,410.0,937.8349949699259,9.364700003061444,7738.014300004579,40281.03122289679
1761785479,50,,Aggregated,38.000000,8.500000,420,1000,1500,1700,2500,3200,4000,4800,6300,7700,7700,1203,252,420.0,924.7635360768472,9.364700003061444,7738.014300004579,40208.27680798005
1761785480,50,,Aggregated,42.500000,9.000000,430,1000,1400,1700,2500,3200,4000,4800,6300,7700,7700,1233,258,430.0,919.1859813467207,9.364700003061444,7738.014300004579,40170.28142741282
1761785481,50,,Aggregated,45.000000,9.600000,440,1000,1400,1700,2400,3200,4000,4800,6300,7700,7700,1253,262,440.0,919.2084427777561,9.364700003061444,7738.014300004579,40096.28172386273
1761785482,50,,Aggregated,48.000000,9.600000,470,1100,1500,1800,2500,3200,4000,4800,6300,7700,7700,1284,271,460.0,936.9976341126816,9.364700003061444,7738.014300004579,40309.47897196261
1761785483,50,,Aggregated,47.100000,9.300000,490,1100,1500,1800,2600,3200,4000,4800,6300,7700,7700,1338,286,480.0,958.8682957404949,9.364700003061444,7738.014300004579,40679.9865470852
1761785484,50,,Aggregated,47.200000,9.500000,470,1100,1500,1800,2600,3200,4000,4800,6300,7700,7700,1396,292,470.0,946.4993084536367,9.364700003061444,7738.014300004579,40206.667621776505
1761785485,50,,Aggregated,44.800000,8.600000,480,1100,1500,1800,2600,3200,4000,4700,6300,7700,7700,1419,299,480.0,946.0735643420606,9.364700003061444,7738.014300004579,40372.15221987315
1761785486,50,,Aggregated,49.600000,9.400000,470,1100,1500,1800,2500,3200,3900,4700,6300,7700,7700,1512,318,470.0,939.5366195775938,9.364700003061444,7738.014300004579,40413.60119047619
1761785487,50,,Aggregated,48.400000,8.800000,470,1000,1500,1700,2500,3200,3900,4700,6300,7700,7700,1569,331,470.0,932.5562998094273,9.364700003061444,7738.014300004579,40476.810070108346
1761785488,50,,Aggregated,45.400000,9.500000,470,1000,1400,1700,2400,3100,3900,4700,6300,7700,7700,1643,341,470.0,917.2981695075547,9.364700003061444,7738.014300004579,39970.569080949484
1761785489,50,,Aggregated,51.500000,9.400000,440,1000,1400,1700,2400,3100,3900,4700,6300,7700,7700,1720,356,440.0,901.500125930761,9.364700003061444,7738.014300004579,39857.26046511628
1761785490,50,,Aggregated,47.000000,10.100000,420,970,1300,1600,2400,3100,3800,4700,6300,7700,7700,1788,360,420.0,878.7557375841952,8.603199967183173,7738.014300004579,39044.18791946309
1761785491,50,,Aggregated,47.000000,10.100000,420,970,1300,1600,2400,3100,3800,4700,6300,7700,7700,1788,360,420.0,878.7557375841952,8.603199967183173,7738.014300004579,39044.18791946309
1761785492,50,,Aggregated,54.700000,10.400000,430,990,1300,1700,2400,3100,3900,4700,6300,7700,7700,1800,371,430.0,892.0421675559353,8.603199967183173,7738.014300004579,39637.46166666667
1761785493,50,,Aggregated,54.400000,10.000000,430,1000,1400,1700,2600,3200,3900,4600,6300,7700,7700,1839,394,430.0,912.3121091357914,8.603199967183173,7738.014300004579,40664.8847199565
1761785494,50,,Aggregated,52.300000,9.300000,430,1000,1400,1700,2600,3100,3800,4600,6300,7700,7700,1916,409,430.0,914.715519989871,8.603199967183173,7738.014300004579,40636.681628392485
1761785495,50,,Aggregated,51.300000,10.100000,420,970,1300,1700,2500,3100,3800,4600,6300,7700,7700,1995,411,420.0,896.2466521807747,8.603199967183173,7738.014300004579,39790.880200501255
1761785496,50,,Aggregated,47.400000,10.600000,430,1000,1400,1700,2500,3100,3800,4500,6100,7700,7700,2023,424,430.0,903.083154127806,8.603199967183173,7738.014300004579,40229.90608007909
1761785497,50,,Aggregated,55.400000,11.500000,430,1000,1400,1700,2500,3100,3800,4500,6100,7700,7700,2063,439,430.0,905.4753921476105,8.603199967183173,7738.014300004579,40654.00484730974
1761785498,50,,Aggregated,56.600000,10.600000,440,990,1400,1700,2500,3100,3800,4500,6100,7700,7700,2130,446,440.0,901.2181207044936,8.603199967183173,7738.014300004579,40223.2089201878
1761785499,50,,Aggregated,50.000000,11.100000,450,1000,1400,1700,2500,3100,3800,4500,6100,7700,7700,2198,457,450.0,900.8271025935039,8.603199967183173,7738.014300004579,39982.64513193812
1761785500,50,,Aggregated,49.300000,10.600000,440,970,1300,1600,2500,3100,3800,4500,6100,7700,7700,2286,463,440.0,888.7254951007103,8.603199967183173,7738.014300004579,39186.37839020122
1761785501,50,,Aggregated,48.900000,10.500000,430,970,1300,1600,2400,3100,3700,4500,6100,7700,7700,2314,466,430.0,881.9449799482057,8.603199967183173,7738.014300004579,39013.16551426102
1761785502,50,,Aggregated,44.700000,10.100000,430,970,1300,1600,2400,3100,3700,4500,6100,7700,7700,2319,468,430.0,882.74225364391,8.603199967183173,7738.014300004579,39070.30357912894
1761785503,50,,Aggregated,51.000000,10.300000,430,970,1300,1700,2500,3100,3800,4500,6100,7700,7700,2335,479,430.0,890.7508591435525,8.603199967183173,7738.014300004579,39483.73490364026
1761785504,50,,Aggregated,52.900000,10.700000,440,990,1400,1700,2600,3100,3700,4500,6100,7700,7700,2389,504,440.0,902.3980794894484,8.603199967183173,7738.014300004579,40213.990791125994
